MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF
"OCT 30, 2016 - DAL @ HOU",0,240,92,32,86,37.2,11,31,35.5,17,20,85,13,30,43,17,8,3,9,17
"OCT 28, 2016 - DAL vs. HOU",0,240,98,35,80,43.8,8,29,27.6,20,24,83.3,6,28,34,13,11,2,9,21
"OCT 26, 2016 - DAL @ IND",0,265,121,45,104,43.3,18,48,37.5,13,18,72.2,10,39,49,26,8,8,15,27
"NOV 30, 2016 - DAL vs. SAS",0,240,87,33,77,42.9,10,30,33.3,11,14,78.6,8,29,37,16,5,3,11,18
"NOV 27, 2016 - DAL vs. NOP",1,240,91,32,77,41.6,10,27,37,17,20,85,11,35,46,19,7,3,12,18
"NOV 25, 2016 - DAL @ CLE",0,240,90,37,91,40.7,8,35,22.9,8,12,66.7,11,28,39,29,5,4,13,21
"NOV 23, 2016 - DAL vs. LAC",0,240,104,38,84,45.2,11,24,45.8,17,18,94.4,10,34,44,23,7,3,16,24
"NOV 21, 2016 - DAL @ SAS",0,240,91,35,74,47.3,8,27,29.6,13,20,65,10,30,40,16,10,3,17,23
"NOV 19, 2016 - DAL @ ORL",0,240,87,26,77,33.8,13,28,46.4,22,27,81.5,5,29,34,13,8,5,13,16
"NOV 18, 2016 - DAL vs. MEM",0,240,64,21,73,28.8,5,25,20,17,22,77.3,10,35,45,9,3,7,17,14
"NOV 16, 2016 - DAL @ BOS",0,240,83,34,83,41,8,23,34.8,7,10,70,5,27,32,16,9,3,9,19
"NOV 14, 2016 - DAL @ NYK",0,240,77,32,84,38.1,5,27,18.5,8,11,72.7,11,29,40,15,8,7,11,16
"NOV 09, 2016 - DAL @ GSW",0,240,95,34,86,39.5,6,28,21.4,21,28,75,13,29,42,20,10,2,7,20
"NOV 08, 2016 - DAL @ LAL",1,240,109,43,82,52.4,10,23,43.5,13,15,86.7,8,29,37,24,11,4,11,12
"NOV 06, 2016 - DAL vs. MIL",1,265,86,33,88,37.5,9,38,23.7,11,12,91.7,10,36,46,14,12,2,15,20
"NOV 04, 2016 - DAL vs. POR",0,240,95,34,83,41,10,28,35.7,17,20,85,7,37,44,18,5,3,12,21
"NOV 02, 2016 - DAL @ UTA",0,240,81,33,77,42.9,7,26,26.9,8,10,80,6,30,36,18,4,4,12,20
"MAR 31, 2017 - DAL @ MEM",0,240,90,29,76,38.2,12,34,35.3,20,25,80,6,32,38,15,7,4,8,21
"MAR 29, 2017 - DAL @ NOP",0,240,118,44,91,48.4,14,27,51.9,16,17,94.1,8,30,38,25,3,4,5,21
"MAR 27, 2017 - DAL vs. OKC",0,240,91,33,80,41.3,10,29,34.5,15,19,78.9,8,31,39,23,12,4,14,16
"MAR 25, 2017 - DAL vs. TOR",0,240,86,31,82,37.8,7,28,25,17,20,85,12,28,40,20,10,4,12,16
"MAR 23, 2017 - DAL vs. LAC",1,240,97,38,82,46.3,9,26,34.6,12,18,66.7,4,30,34,26,11,4,9,18
"MAR 21, 2017 - DAL vs. GSW",0,240,87,33,92,35.9,11,34,32.4,10,12,83.3,13,26,39,24,8,2,11,14
"MAR 19, 2017 - DAL @ BKN",1,240,111,41,76,53.9,10,25,40,19,25,76,2,31,33,20,8,3,10,24
"MAR 17, 2017 - DAL @ PHI",0,240,74,30,87,34.5,5,23,21.7,9,17,52.9,5,29,34,21,6,4,12,20
"MAR 15, 2017 - DAL @ WAS",1,240,112,40,79,50.6,14,32,43.8,18,25,72,5,35,40,24,5,1,10,22
"MAR 13, 2017 - DAL @ TOR",0,240,78,31,85,36.5,7,25,28,9,13,69.2,7,27,34,21,4,6,7,19
"MAR 11, 2017 - DAL vs. PHX",0,240,98,28,74,37.8,9,26,34.6,33,36,91.7,10,38,48,17,2,4,13,17
"MAR 10, 2017 - DAL vs. BKN",1,240,105,33,78,42.3,14,33,42.4,25,28,89.3,7,40,47,16,5,0,15,18
"MAR 07, 2017 - DAL vs. LAL",1,240,122,45,83,54.2,17,31,54.8,15,19,78.9,6,35,41,25,5,5,14,17
"MAR 05, 2017 - DAL vs. OKC",1,240,104,42,86,48.8,7,25,28,13,16,81.3,5,32,37,24,6,2,8,20
"MAR 03, 2017 - DAL vs. MEM",1,240,104,39,82,47.6,5,27,18.5,21,27,77.8,8,37,45,23,5,3,8,20
"MAR 01, 2017 - DAL @ ATL",0,240,95,35,77,45.5,14,33,42.4,11,13,84.6,10,23,33,22,10,5,20,20
"JAN 30, 2017 - DAL vs. CLE",1,240,104,39,86,45.3,9,32,28.1,17,18,94.4,9,31,40,19,11,2,9,17
"JAN 29, 2017 - DAL @ SAS",1,240,105,39,87,44.8,12,34,35.3,15,16,93.8,6,35,41,20,6,5,6,19
"JAN 26, 2017 - DAL @ OKC",0,240,98,38,84,45.2,11,26,42.3,11,13,84.6,8,28,36,17,10,2,12,26
"JAN 25, 2017 - DAL vs. NYK",1,240,103,39,83,47,6,26,23.1,19,24,79.2,7,29,36,19,10,7,7,12
"JAN 22, 2017 - DAL vs. LAL",1,240,122,43,87,49.4,17,39,43.6,19,19,100,13,36,49,27,9,4,10,15
"JAN 20, 2017 - DAL vs. UTA",0,265,107,39,87,44.8,8,23,34.8,21,28,75,9,34,43,21,4,2,12,26
"JAN 19, 2017 - DAL @ MIA",0,240,95,37,82,45.1,14,36,38.9,7,11,63.6,5,28,33,17,4,3,9,20
"JAN 17, 2017 - DAL @ CHI",1,240,99,37,78,47.4,11,28,39.3,14,18,77.8,6,30,36,27,5,2,12,21
"JAN 15, 2017 - DAL vs. MIN",1,240,98,36,77,46.8,12,29,41.4,14,19,73.7,6,35,41,21,8,8,11,18
"JAN 12, 2017 - DAL @ PHX",1,240,113,43,89,48.3,15,34,44.1,12,17,70.6,8,24,32,29,11,7,9,20
"JAN 09, 2017 - DAL @ MIN",0,240,92,36,78,46.2,13,28,46.4,7,9,77.8,5,20,25,24,3,2,14,21
"JAN 07, 2017 - DAL vs. ATL",0,240,82,32,82,39,9,36,25,9,10,90,6,35,41,18,7,3,14,25
"JAN 05, 2017 - DAL vs. PHX",0,240,95,36,79,45.6,9,29,31,14,17,82.4,7,24,31,18,6,7,10,20
"JAN 03, 2017 - DAL vs. WAS",1,240,113,37,78,47.4,17,32,53.1,22,24,91.7,2,40,42,20,4,3,12,21
"FEB 27, 2017 - DAL vs. MIA",1,240,96,33,76,43.4,9,18,50,21,23,91.3,11,31,42,18,5,2,13,13
"FEB 25, 2017 - DAL vs. NOP",1,240,96,36,78,46.2,12,26,46.2,12,16,75,7,36,43,24,12,4,17,25
"FEB 24, 2017 - DAL @ MIN",0,240,84,35,83,42.2,8,33,24.2,6,9,66.7,8,27,35,16,9,5,15,19
